"Label (Grouping)","Ames city, Iowa!!Estimate","Ames city, Iowa!!Margin of Error","Ames city, Iowa!!Percent","Ames city, Iowa!!Percent Margin of Error"
"EMPLOYMENT STATUS","","","",""
"    Population 16 years and over","60,902","±923","60,902","(X)"
"        In labor force","42,097","±1,843","69.1%","±3.0"
"            Civilian labor force","42,074","±1,844","69.1%","±3.0"
"                Employed","39,877","±1,936","65.5%","±3.1"
"                Unemployed","2,197","±666","3.6%","±1.1"
"            Armed Forces","23","±39","0.0%","±0.1"
"        Not in labor force","18,805","±1,881","30.9%","±3.0"
"    Civilian labor force","42,074","±1,844","42,074","(X)"
"        Unemployment Rate","(X)","(X)","5.2%","±1.6"
"    Females 16 years and over","28,329","±668","28,329","(X)"
"        In labor force","19,307","±1,019","68.2%","±3.3"
"            Civilian labor force","19,307","±1,019","68.2%","±3.3"
"                Employed","18,018","±1,144","63.6%","±3.8"
"    Own children of the householder under 6 years","2,171","±774","2,171","(X)"
"        All parents in family in labor force","1,699","±732","78.3%","±13.9"
"    Own children of the householder 6 to 17 years","4,458","±790","4,458","(X)"
"        All parents in family in labor force","3,758","±871","84.3%","±10.6"
"COMMUTING TO WORK","","","",""
"    Workers 16 years and over","37,700","±2,106","37,700","(X)"
"        Car, truck, or van -- drove alone","25,001","±2,202","66.3%","±4.2"
"        Car, truck, or van -- carpooled","2,560","±970","6.8%","±2.6"
"        Public transportation (excluding taxicab)","2,110","±762","5.6%","±2.0"
"        Walked","3,595","±799","9.5%","±2.0"
"        Other means","1,377","±767","3.7%","±2.0"
"        Worked from home","3,057","±900","8.1%","±2.3"
"        Mean travel time to work (minutes)","14.9","±1.3","(X)","(X)"
"OCCUPATION","","","",""
"    Civilian employed population 16 years and over","39,877","±1,936","39,877","(X)"
"        Management, business, science, and arts occupations","20,103","±2,095","50.4%","±4.4"
"        Service occupations","7,308","±1,237","18.3%","±3.0"
"        Sales and office occupations","5,891","±1,438","14.8%","±3.5"
"        Natural resources, construction, and maintenance occupations","2,012","±613","5.0%","±1.5"
"        Production, transportation, and material moving occupations","4,563","±945","11.4%","±2.3"
"INDUSTRY","","","",""
"    Civilian employed population 16 years and over","39,877","±1,936","39,877","(X)"
"        Agriculture, forestry, fishing and hunting, and mining","268","±326","0.7%","±0.8"
"        Construction","1,831","±589","4.6%","±1.5"
"        Manufacturing","3,449","±1,138","8.6%","±2.8"
"        Wholesale trade","362","±308","0.9%","±0.8"
"        Retail trade","5,435","±1,049","13.6%","±2.6"
"        Transportation and warehousing, and utilities","797","±339","2.0%","±0.9"
"        Information","326","±239","0.8%","±0.6"
"        Finance and insurance, and real estate and rental and leasing","1,604","±632","4.0%","±1.6"
"        Professional, scientific, and management, and administrative and waste management services","3,621","±952","9.1%","±2.4"
"        Educational services, and health care and social assistance","15,475","±1,964","38.8%","±4.2"
"        Arts, entertainment, and recreation, and accommodation and food services","4,638","±1,051","11.6%","±2.5"
"        Other services, except public administration","997","±351","2.5%","±0.9"
"        Public administration","1,074","±507","2.7%","±1.3"
"CLASS OF WORKER","","","",""
"    Civilian employed population 16 years and over","39,877","±1,936","39,877","(X)"
"        Private wage and salary workers","26,454","±1,906","66.3%","±3.8"
"        Government workers","12,653","±1,640","31.7%","±3.6"
"        Self-employed in own not incorporated business workers","770","±456","1.9%","±1.2"
"        Unpaid family workers","0","±170","0.0%","±0.3"
"INCOME AND BENEFITS (IN 2022 INFLATION-ADJUSTED DOLLARS)","","","",""
"    Total households","27,073","±1,204","27,073","(X)"
"        Less than $10,000","2,011","±801","7.4%","±2.9"
"        $10,000 to $14,999","1,318","±475","4.9%","±1.7"
"        $15,000 to $24,999","3,330","±986","12.3%","±3.5"
"        $25,000 to $34,999","2,753","±959","10.2%","±3.6"
"        $35,000 to $49,999","3,777","±1,003","14.0%","±3.5"
"        $50,000 to $74,999","3,625","±1,004","13.4%","±3.6"
"        $75,000 to $99,999","3,083","±965","11.4%","±3.6"
"        $100,000 to $149,999","3,672","±966","13.6%","±3.6"
"        $150,000 to $199,999","1,782","±508","6.6%","±1.9"
"        $200,000 or more","1,722","±559","6.4%","±2.0"
"        Median household income (dollars)","52,565","±7,278","(X)","(X)"
"        Mean household income (dollars)","79,125","±6,688","(X)","(X)"
"        With earnings","23,196","±1,284","85.7%","±3.1"
"            Mean earnings (dollars)","73,687","±7,050","(X)","(X)"
"        With Social Security","5,324","±831","19.7%","±3.0"
"            Mean Social Security income (dollars)","26,373","±2,945","(X)","(X)"
"        With retirement income","4,858","±899","17.9%","±3.2"
"            Mean retirement income (dollars)","32,295","±5,963","(X)","(X)"
"        With Supplemental Security Income","566","±302","2.1%","±1.1"
"            Mean Supplemental Security Income (dollars)","13,501","±6,200","(X)","(X)"
"        With cash public assistance income","481","±295","1.8%","±1.1"
"            Mean cash public assistance income (dollars)","N","N","(X)","(X)"
"        With Food Stamp/SNAP benefits in the past 12 months","1,146","±469","4.2%","±1.7"
"    Families","10,742","±1,015","10,742","(X)"
"        Less than $10,000","313","±271","2.9%","±2.5"
"        $10,000 to $14,999","157","±188","1.5%","±1.7"
"        $15,000 to $24,999","352","±257","3.3%","±2.3"
"        $25,000 to $34,999","445","±293","4.1%","±2.7"
"        $35,000 to $49,999","789","±437","7.3%","±4.0"
"        $50,000 to $74,999","1,236","±463","11.5%","±4.1"
"        $75,000 to $99,999","1,782","±682","16.6%","±5.8"
"        $100,000 to $149,999","2,579","±664","24.0%","±6.0"
"        $150,000 to $199,999","1,434","±500","13.3%","±4.8"
"        $200,000 or more","1,655","±547","15.4%","±4.8"
"        Median family income (dollars)","108,095","±18,893","(X)","(X)"
"        Mean family income (dollars)","131,577","±15,359","(X)","(X)"
"    Per capita income (dollars)","32,137","±2,691","(X)","(X)"
"    Nonfamily households","16,331","±1,289","16,331","(X)"
"        Median nonfamily income (dollars)","35,005","±6,289","(X)","(X)"
"        Mean nonfamily income (dollars)","43,533","±4,998","(X)","(X)"
"    Median earnings for workers (dollars)","16,874","±3,769","(X)","(X)"
"    Median earnings for male full-time, year-round workers (dollars)","55,938","±9,392","(X)","(X)"
"    Median earnings for female full-time, year-round workers (dollars)","44,339","±8,260","(X)","(X)"
"HEALTH INSURANCE COVERAGE","","","",""
"    Civilian noninstitutionalized population","66,679","±50","66,679","(X)"
"        With health insurance coverage","64,225","±863","96.3%","±1.3"
"            With private health insurance","57,862","±1,966","86.8%","±2.9"
"            With public coverage","11,911","±1,737","17.9%","±2.6"
"        No health insurance coverage","2,454","±859","3.7%","±1.3"
"    Civilian noninstitutionalized population under 19 years","12,627","±1,383","12,627","(X)"
"        No health insurance coverage","381","±331","3.0%","±2.7"
"    Civilian noninstitutionalized population 19 to 64 years","46,831","±1,382","46,831","(X)"
"        In labor force:","36,970","±1,737","36,970","(X)"
"            Employed:","35,092","±1,822","35,092","(X)"
"                With health insurance coverage","33,671","±1,686","96.0%","±2.1"
"                    With private health insurance","32,233","±1,825","91.9%","±2.8"
"                    With public coverage","1,936","±651","5.5%","±1.9"
"                No health insurance coverage","1,421","±773","4.0%","±2.1"
"            Unemployed:","1,878","±666","1,878","(X)"
"                With health insurance coverage","1,740","±643","92.7%","±6.9"
"                    With private health insurance","1,618","±627","86.2%","±10.3"
"                    With public coverage","122","±150","6.5%","±7.9"
"                No health insurance coverage","138","±131","7.3%","±6.9"
"        Not in labor force:","9,861","±1,626","9,861","(X)"
"            With health insurance coverage","9,347","±1,589","94.8%","±3.1"
"                With private health insurance","8,383","±1,563","85.0%","±5.6"
"                With public coverage","1,198","±538","12.1%","±5.2"
"            No health insurance coverage","514","±310","5.2%","±3.1"
"PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL","","","",""
"    All families","(X)","(X)","8.5%","±3.8"
"        With related children of the householder under 18 years","(X)","(X)","13.2%","±8.1"
"            With related children of the householder under 5 years only","(X)","(X)","26.2%","±28.6"
"        Married couple families","(X)","(X)","3.3%","±2.4"
"            With related children of the householder under 18 years","(X)","(X)","3.7%","±4.7"
"                With related children of the householder under 5 years only","(X)","(X)","0.0%","±25.7"
"        Families with female householder, no spouse present","(X)","(X)","27.5%","±20.4"
"            With related children of the householder under 18 years","(X)","(X)","58.6%","±32.4"
"                With related children of the householder under 5 years only","(X)","(X)","100.0%","±62.5"
"    All people","(X)","(X)","26.2%","±3.8"
"        Under 18 years","(X)","(X)","11.3%","±7.4"
"            Related children of the householder under 18 years","(X)","(X)","11.3%","±7.4"
"                Related children of the householder under 5 years","(X)","(X)","15.4%","±14.7"
"                Related children of the householder 5 to 17 years","(X)","(X)","10.2%","±8.1"
"        18 years and over","(X)","(X)","28.3%","±3.9"
"            18 to 64 years","(X)","(X)","32.8%","±4.4"
"            65 years and over","(X)","(X)","3.4%","±3.1"
"        People in families","(X)","(X)","8.3%","±3.8"
"        Unrelated individuals 15 years and over","(X)","(X)","45.9%","±6.7"
